LED_type,Sample_ID,Material,Dies,CCT,Ts,IF,Time,Flux
1,4,2,2,2700,86.5,100,6805,96.8
1,4,2,2,2700,86.5,100,7601,96.5
1,4,2,2,2700,86.5,100,8437,96.3
1,4,2,2,2700,86.5,100,9269,96.1
1,4,2,2,2700,86.5,100,10100,96.3
1,5,2,2,2700,86.5,100,0,100
1,5,2,2,2700,86.5,100,541,98.4
1,5,2,2,2700,86.5,100,1007,98.3
1,5,2,2,2700,86.5,100,1697,98.1
1,5,2,2,2700,86.5,100,2379,97.9
1,5,2,2,2700,86.5,100,3141,97.5
1,5,2,2,2700,86.5,100,3829,97.4
1,5,2,2,2700,86.5,100,4544,97.4
1,5,2,2,2700,86.5,100,5210,97.2
1,5,2,2,2700,86.5,100,6043,97.2
1,5,2,2,2700,86.5,100,6805,97.1
1,5,2,2,2700,86.5,100,7601,97
1,5,2,2,2700,86.5,100,8437,96.8
1,5,2,2,2700,86.5,100,9269,96.7
1,5,2,2,2700,86.5,100,10100,97.1
1,6,2,2,2700,86.5,100,0,100
1,6,2,2,2700,86.5,100,541,98.5
1,6,2,2,2700,86.5,100,1007,98.3
1,6,2,2,2700,86.5,100,1697,97.9
1,6,2,2,2700,86.5,100,2379,97.6
1,6,2,2,2700,86.5,100,3141,97.3
1,6,2,2,2700,86.5,100,3829,97.2
1,6,2,2,2700,86.5,100,4544,97.3
1,6,2,2,2700,86.5,100,5210,97
1,6,2,2,2700,86.5,100,6043,96.7
1,6,2,2,2700,86.5,100,6805,96.7
1,6,2,2,2700,86.5,100,7601,96.6
1,6,2,2,2700,86.5,100,8437,96.4
1,6,2,2,2700,86.5,100,9269,96.3
1,6,2,2,2700,86.5,100,10100,96.9
1,7,2,2,2700,86.5,100,0,100
1,7,2,2,2700,86.5,100,541,98.4
1,7,2,2,2700,86.5,100,1007,98.2
1,7,2,2,2700,86.5,100,1697,97.6
1,7,2,2,2700,86.5,100,2379,97.1
1,7,2,2,2700,86.5,100,3141,96.9
1,7,2,2,2700,86.5,100,3829,96.6
1,7,2,2,2700,86.5,100,4544,96.4
1,7,2,2,2700,86.5,100,5210,96.1
