Test_ID,Sample_ID,Ts,IF,Time,Flux_t
5,1,85,0.25,9576,0.9648
5,2,85,0.25,9576,0.9654
5,3,85,0.25,9576,0.9904
5,4,85,0.25,9576,0.9755
5,5,85,0.25,9576,0.9805
5,6,85,0.25,9576,0.9604
5,7,85,0.25,9576,0.9827
5,8,85,0.25,9576,0.9818
5,9,85,0.25,9576,0.9663
5,10,85,0.25,9576,0.9893
5,11,85,0.25,9576,0.9683
5,12,85,0.25,9576,0.9659
5,13,85,0.25,9576,0.9891
5,14,85,0.25,9576,0.9625
5,15,85,0.25,9576,0.9806
5,16,85,0.25,9576,0.96
5,17,85,0.25,9576,0.9856
5,18,85,0.25,9576,0.9885
5,19,85,0.25,9576,0.9564
5,20,85,0.25,9576,0.9918
5,1,85,0.25,10080,0.9594
5,2,85,0.25,10080,0.9686
5,3,85,0.25,10080,0.9896
5,4,85,0.25,10080,0.9705
5,5,85,0.25,10080,0.9719
5,6,85,0.25,10080,0.955
5,7,85,0.25,10080,0.9773
5,8,85,0.25,10080,0.9785
5,9,85,0.25,10080,0.9671
5,10,85,0.25,10080,0.9831
5,11,85,0.25,10080,0.971
5,12,85,0.25,10080,0.9685
5,13,85,0.25,10080,0.9917
5,14,85,0.25,10080,0.9658
5,15,85,0.25,10080,0.98
5,16,85,0.25,10080,0.962
5,17,85,0.25,10080,0.9889
5,18,85,0.25,10080,0.9914
5,19,85,0.25,10080,0.9593
5,20,85,0.25,10080,0.9942
5,1,85,0.25,10500,0.9534
5,2,85,0.25,10500,0.956
5,3,85,0.25,10500,0.9816
5,4,85,0.25,10500,0.9609
5,5,85,0.25,10500,0.9697
5,6,85,0.25,10500,0.9523
5,7,85,0.25,10500,0.9694
5,8,85,0.25,10500,0.9728
5,9,85,0.25,10500,0.9566
5,10,85,0.25,10500,0.9799
5,11,85,0.25,10500,0.9723
5,12,85,0.25,10500,0.9719
5,13,85,0.25,10500,0.9921
5,14,85,0.25,10500,0.9655
5,15,85,0.25,10500,0.9789
5,16,85,0.25,10500,0.9648
5,17,85,0.25,10500,0.9883
5,18,85,0.25,10500,0.9893
5,19,85,0.25,10500,0.9594
5,20,85,0.25,10500,0.9929
5,1,85,0.25,11000,0.9576
5,2,85,0.25,11000,0.9573
5,3,85,0.25,11000,0.9857
5,4,85,0.25,11000,0.9587
5,5,85,0.25,11000,0.9738
5,6,85,0.25,11000,0.9524
5,7,85,0.25,11000,0.9727
5,8,85,0.25,11000,0.967
5,9,85,0.25,11000,0.9589
5,10,85,0.25,11000,0.9842
5,11,85,0.25,11000,0.9769
5,12,85,0.25,11000,0.9712
5,13,85,0.25,11000,0.9887
5,14,85,0.25,11000,0.9682
5,15,85,0.25,11000,0.9774
5,16,85,0.25,11000,0.9655
5,17,85,0.25,11000,0.9856
5,18,85,0.25,11000,0.987
5,19,85,0.25,11000,0.9612
5,20,85,0.25,11000,0.9904
5,1,85,0.25,11500,0.9657
5,2,85,0.25,11500,0.9599
5,3,85,0.25,11500,0.9894
5,4,85,0.25,11500,0.9675
5,5,85,0.25,11500,0.9754
5,6,85,0.25,11500,0.9536
5,7,85,0.25,11500,0.9805
5,8,85,0.25,11500,0.9767
5,9,85,0.25,11500,0.9636
5,10,85,0.25,11500,0.9881
5,11,85,0.25,11500,0.968
5,12,85,0.25,11500,0.965
5,13,85,0.25,11500,0.9863
5,14,85,0.25,11500,0.9568
5,15,85,0.25,11500,0.9753
5,16,85,0.25,11500,0.9571
5,17,85,0.25,11500,0.9813
5,18,85,0.25,11500,0.9866
5,19,85,0.25,11500,0.9543
5,20,85,0.25,11500,0.9861
5,1,85,0.25,12000,0.9562
5,2,85,0.25,12000,0.9638
5,3,85,0.25,12000,0.9845
5,4,85,0.25,12000,0.9624
5,5,85,0.25,12000,0.9705
5,6,85,0.25,12000,0.947
5,7,85,0.25,12000,0.974
5,8,85,0.25,12000,0.9722
5,9,85,0.25,12000,0.9629
5,10,85,0.25,12000,0.9864
5,11,85,0.25,12000,0.9696
5,12,85,0.25,12000,0.9689
5,13,85,0.25,12000,0.9907
5,14,85,0.25,12000,0.9623
5,15,85,0.25,12000,0.9779
5,16,85,0.25,12000,0.9606
5,17,85,0.25,12000,0.9853
5,18,85,0.25,12000,0.9876
5,19,85,0.25,12000,0.961
5,20,85,0.25,12000,0.9885
5,1,85,0.25,12500,0.9537
5,2,85,0.25,12500,0.9503
5,3,85,0.25,12500,0.9806
5,4,85,0.25,12500,0.9643
5,5,85,0.25,12500,0.9665
5,6,85,0.25,12500,0.9463
5,7,85,0.25,12500,0.9694
5,8,85,0.25,12500,0.9717
5,9,85,0.25,12500,0.9526
5,10,85,0.25,12500,0.9799
5,11,85,0.25,12500,0.962
5,12,85,0.25,12500,0.967
5,13,85,0.25,12500,0.9861
5,14,85,0.25,12500,0.9582
5,15,85,0.25,12500,0.972
5,16,85,0.25,12500,0.9542
5,17,85,0.25,12500,0.978
5,18,85,0.25,12500,0.9836
5,19,85,0.25,12500,0.9566
5,20,85,0.25,12500,0.9842
5,1,85,0.25,13000,0.9501
5,2,85,0.25,13000,0.9556
5,3,85,0.25,13000,0.9807
5,4,85,0.25,13000,0.9553
5,5,85,0.25,13000,0.9673
5,6,85,0.25,13000,0.9464
5,7,85,0.25,13000,0.9668
5,8,85,0.25,13000,0.9696
5,9,85,0.25,13000,0.9555
5,10,85,0.25,13000,0.9805
5,11,85,0.25,13000,0.9578
5,12,85,0.25,13000,0.9589
5,13,85,0.25,13000,0.9745
5,14,85,0.25,13000,0.9516
5,15,85,0.25,13000,0.9668
5,16,85,0.25,13000,0.9472
5,17,85,0.25,13000,0.9705
5,18,85,0.25,13000,0.9767
5,19,85,0.25,13000,0.9473
5,20,85,0.25,13000,0.979
5,1,85,0.25,13500,0.9607
5,2,85,0.25,13500,0.9654
5,3,85,0.25,13500,0.9858
5,4,85,0.25,13500,0.9652
5,5,85,0.25,13500,0.9685
5,6,85,0.25,13500,0.9519
5,7,85,0.25,13500,0.9745
5,8,85,0.25,13500,0.9773
5,9,85,0.25,13500,0.9624
5,10,85,0.25,13500,0.9859
5,11,85,0.25,13500,0.9701
5,12,85,0.25,13500,0.9577
5,13,85,0.25,13500,0.9799
5,14,85,0.25,13500,0.9579
5,15,85,0.25,13500,0.9673
5,16,85,0.25,13500,0.9469
5,17,85,0.25,13500,0.9724
5,18,85,0.25,13500,0.9771
5,19,85,0.25,13500,0.9501
